Chemical Name,Skin Type,Description
Pentylene glycol,Combination Skin,"A humectant that helps to hydrate the skin without leaving a greasy residue, suitable for oily and combination skin types."
Triethanolamine,Combination Skin,"An emulsifier and pH adjuster used in skincare formulations, suitable for oily and combination skin types."
Sodium hydroxide,Combination Skin,"A pH adjuster used in skincare formulations, suitable for oily and combination skin types."
Phenoxyethanol,Combination Skin,"A preservative commonly used in skincare products, suitable for oily and combination skin types."
Chlorphenesin,Combination Skin,"A preservative with antimicrobial properties, suitable for oily and combination skin types."
Hyaluronic Acid,All Skin type,
Vitamin C,Normal Skin,
Aloe Vera,Normal Skin,
Jojoba Oil,Normal Skin,
Ceramides,All Skin type,
Vitamin E,Normal Skin,
 Vitamin B3,Normal Skin,
Shea Butter,Dry Skin,
Glycerine,Dry Skin,
Salicyclic Acid,Oily Skin,
Benzoyl Peroxide,Oily Skin,
Tea Tree Oil,Oily Skin,
Clay,Oily Skin,
Glycolic Acid,Oily Skin,
AHA,Oily Skin,
Niacinamide,Combination Skin,
Squalene,Combination Skin,
Green Tea Extract,Combination Skin,
Dimenthicone,Dry Skin,
Vitamin B5,Dry Skin,
Lactic Acid,Dry Skin,
Oat meal,All Skin type,
capric triglyceride,All Skin type,
homosalate,All Skin type,
sodium hyaluronate,All Skin type,
prunus amygdalus dulcis,All Skin type,
capric triglyceride,Combination Skin,
prunus amygdalus dulcis,Normal Skin,
 cetyl alcohol,All Skin type,
 sodium hyaluronate,All Skin type,
 tipa-laureth sulfate,All Skin type,
 peg-40 sorbitan peroleate,All Skin type,
 sesamium indicum seed oil,All Skin type,
 propanediol,All Skin type,
 octocrylene,All Skin type,
 panthenol,All Skin type,
 laureth-2,All Skin type,
 ppg-15 stearyl ether,All Skin type,
 alcohol,All Skin type,
 stearyl alcohol,Dry Skin,
 ethylhexyl,Normal Skin,
 ahnfeltia concinna extract,Combination Skin,
 salicylate,Combination Skin,
 propylene glycol,Normal Skin,
 aleurites moluccanus seed oil,Oily Skin,
 glyceryl oleate,Oily Skin,
 sodium hyaluronate,Oily Skin,
 niacinamide,Normal Skin,
 pentylene glycol,Dry Skin,
 pelargonium graveolens extract,Dry Skin,
 macadamia ternifolia seed oil,Combination Skin,
 calendula officinalis extract,Normal Skin,
 arganine,Normal Skin,
 silica,Combination Skin,
 propanediol,All Skin type,
 sorbitan oleate,All Skin type,
 calophyllum tacamahaca (tamanu) seed oil,All Skin type,
 sodium cera alba,All Skin type,
 aspartic acid,All Skin type,
 butyl methoxydibenzoylmethane,All Skin type,
 polyacrylate crosspolymer-6,All Skin type,
 linalool,All Skin type,
 benzyl benzoate,All Skin type,
 xanthan gum,All Skin type,
 aspartic acid,All Skin type,
 butyl methoxydibenzoylmethane,All Skin type,
 polyacrylate crosspolymer-6,All Skin type,
 linalool,Oily Skin,
 benzyl benzoate,Oily Skin,
 xanthan gum,Oily Skin,
 glycine,Dry Skin,
 dimethicon,All Skin type,
 ppg-26 buteth-26,All Skin type,
 geraniol,All Skin type,
 butylphenyl methylpropional,All Skin type,
 parfum,All Skin type,
 alanine,All Skin type,
 cetearyl alcohol,Normal Skin,
 castor oil,Normal Skin,
 cananga odorata flower oil,Normal Skin,
 linalool,Dry Skin,
 limonene,All Skin type,
 serine,All Skin type,
 peg-100 stearate,All Skin type,
 trisodium ethylenediamine disuccinate,All Skin type,
 papaver orientale (poppy) seed oil,All Skin type,
 tocopherol,All Skin type,
 linalool,All Skin type,
 valine,All Skin type,
 glyceryl stearate,All Skin type,
 citric acid,Combination Skin,
 amaranthus caudatus seed extract,Combination Skin,
 hydroxyisohexyl 3-cyclohexene,Dry Skin,
 isoleucine,Combination Skin,
 phenoxyethanol,Normal Skin,
 ethoxydiglycol,Normal Skin,
 tocopherol,Dry Skin,
 citronellol,Normal Skin,
 proline,All Skin type,
 stearic acid,All Skin type,
 caprylyl glycol,All Skin type,
 platonia insignis (bacuri) seed oil,All Skin type,
 limonene,All Skin type,
 threonine,All Skin type,
 behentrimonium methosulfate,All Skin type,
 hexylene glycol,Combination Skin,
 citronellol,Normal Skin,
 coumarin,Oily Skin,
 histidine,Oily Skin,
 caprylyl glycol,All Skin type,
 ethylhexyl glycerin,All Skin type,
 eugenol,All Skin type,
 phenylalanine,All Skin type,
 palmitic acid,All Skin type,
 phenoxyethanol,All Skin type,
 limonene,All Skin type,
 glucose,All Skin type,
 ammonium polyacryloyldmethyl taurate,All Skin type,
 chlorphenesin],All Skin type,
 helianthus annuus seed oil,All Skin type,
 maltose,All Skin type,
 xanthan gum,All Skin type,
 benzyl benzoate,All Skin type,
 fructose,All Skin type,
 disodium edta,All Skin type,
 hydrogenated olus oil,All Skin type,
 trehalose,All Skin type,
 tocopherol,All Skin type,
 rosmarinus officinalis extract,All Skin type,
 sodium pca,All Skin type,
 sodium lauroyl,All Skin type,
 cedrus atlantica bark oil],All Skin type,
 pca,All Skin type,
 myristic acid,All Skin type,
 sodium lactate,All Skin type,
 sodium hyaluronate,All Skin type,
 urea,All Skin type,
 ceramide np,All Skin type,
 allantoin,All Skin type,
 linoleic acid,All Skin type,
 phytosphingosine,All Skin type,
 oleic acid,All Skin type,
 cholesterol,All Skin type,
 phytosteryl canola glycerides,All Skin type,
 cerbomer,All Skin type,
 palmitic acid,All Skin type,
 ethylhexyl glycerin,All Skin type,
 stearic acid,All Skin type,
 ceramide eop],All Skin type,
 lecithin,All Skin type,
 triolein,All Skin type,
 tocopherol,All Skin type,
 carbomer,All Skin type,
 isoceteth-20,All Skin type,
 polysorbate 60,All Skin type,
 sodium chloride,All Skin type,
 citric acid,All Skin type,
 trisodium ethylenediamine disuccinate,All Skin type,
 pentylene glycol,All Skin type,
 triethanolamine,All Skin type,
 sodium hydroxide,All Skin type,
 phenoxyethanol,All Skin type,
 chlorphenesin,All Skin type,
